"TAXON_NAME_ID","SCIENTIFIC_NAME","AUTHOR_TEXT"
299787,"Gulella cruciata","(Von Martens, 1900)"
42343,"Mazatlania aciculata","(Lamarck, 1822)"
42344,"Anachis rugulosa","(Sowerby, 1844)"
42345,"Pyramidella tessellata","A. Adams, 1854"
42346,"Iselica fenestrata","(Carpenter, 1864)"
42347,"Tragula fenestrata","(Jeffreys, 1848)"
42348,"Odostomia (Menestho) fetella","Dall & Bartsch, 1909"
40695,"Villosa nebulosa","(Conrad, 1834)"
40696,"Io powellensis","Adams, 1914"
40697,"Io fluvialis powellensis","Anthony, 1860"
40699,"Io fluvialis lytonnensis","Anthony, 1860"
40700,"Semele australis","Sowerby, 1832"
175704,"Corbicula occidentiformis",""
175705,"Corbicula moreletiana peleti","Clessin"
175706,"Corbicula virescens","Brandt"
175707,"Corbicula nacula","Brandt"
175709,"Corbicula pingensis","Brandt"
175710,"Gadinia peruviana","Sowerby, 1825"
189317,"Wyomingites arnoldi","(Hyatt & Smith) 1905"
299820,"Maoricrypta costata","Sowerby"
42349,"Turbonilla finlayi","A. W. B. Powell, 1926"
42350,"Turbonilla (Chemnitzia) flavocincta","C. B. Adams, 1850"
42351,"Monotygma fulva","A. Adams, 1853"
40298,"Phyllocoma convoluta","(Broderip, 1843)"
40299,"Tellina palatum","Iredale, 1929"
40300,"Gulella aranearum","Van Bruggen, 1986"
40701,"Marchia bipinnata","Reeve, 1845"
40702,"Hanleya tropicalis","Dall, 1879"
40703,"Fossarus bella","Dall, 1889"
40704,"Liotia bairdii","Dall, 1889"
41371,"Trophon petterdi","Braz"
41372,"Goniobasis hydei","Conrad"
41373,"Cancellaria (Admete) californica","Dall, 1908"
184399,"Scenella amii",""
40314,"Io turrita","Anthony, 1860"
40315,"Mitra peculiaris","Reeve, 1845"
40316,"Haliotis coccinea","Reeve, 1846"
40317,"Glycydonta marica","(Linnaeus, 1758)"
40318,"Scissurella costata","D'Orbigny, 1824"
40319,"Io fluvialis nolichuckyensis","Anthony, 1860"
40320,"Bathoxiphus ensiculus","(Jeffreys, 1877)"
41387,"Euchelus guttarosea","Dall, 1889"
41389,"Puncturella sportella","Watson"
41390,"Puncturella borroi","Perez-Farfante"
41391,"Epitonium greenlandicum","(Perry, 1811)"
41392,"Amauropsis islandicus","(Gmelin)"
41393,"Corbula fulva","C.B. Adams, 1852"
176535,"Urocoptis adamsiana var. puncturata","Pfr"
176536,"Urocoptis malleata",""
176537,"Urocoptis gigouana",""
176539,"Conus heiroglyphus",""
176540,"Pleurocera obovata sordida","Lea"
179877,"Margaritania margaritifera",""
179874,"Mitra hanleyi hanleyi","Dohrn"
179875,"Thysanophora vivescens","Pfr."
179876,"Cypraea diluculum virginalis","(Reeve, 1845)"
179878,"Myonera octaporosa",""
179879,"Rhachis burloi","Bgt."
37525,"Neritina communis","Quoy & Gaimaro, 1832"
37526,"Harpa amouretta","Röding, 1798"
37527,"Tutufa bufo","Röding, 1798"
37528,"Tridacna squamosa","Lamarck, 1819"
37529,"Bufonaria subgranosa","Sowerby, 1836"
37530,"Conus omaria","Hwass, 1792"
37531,"Bufonaria elegans","Sowerby, 1836"
175711,"Lampsilis texasianus","Lea"
175712,"Lampsilis marginis","Lea"
175713,"Lampsilis fullerkati","Johnson"
175714,"Turbo argyrostomas","L."
175715,"Turbo stenogyrus","Fisch"
175716,"Cesion heasheyi","Gosse"
189319,"Wyomingites whiteanus","(Waagen) 1895"
189320,"Wyomingites aplanatus cf.",""
189323,"Wyomingites cf. aplanatus","(White) 1879"
189327,"Xenoceltites youngi","Kummel & Steele, 1962"
189328,"Xenoceltites sp",""
178919,"Fasciolasia gigantea","ien"
338436,"Bradybaena (Acusta) despecta","(A. Gray)"
40334,"Urosalpinx perrugata","""Conrad, 1846"""
40335,"Leptodea largillierti","(Philippi)"
40336,"Irus lamellifera","Conrad, 1837"
40337,"Pteropurpura macroptera","(Deshayes, 1839)"
40338,"Pleurobema sintoxia","(Rafinesque, 1820)"
40339,"Nemocardium lyratum","(Sowerby, 1840)"
40340,"Conus nigropunctatus","Sowerby, 1843"
40301,"Gulella nyikaensis",""
40302,"Gulella","L. Pfeiffer, 1856"
40303,"Conus pertusus","Hwass ""in"" Bruguiere, 1792"
40304,"Conus obscurus","Sowerby I, ""in"" Sowerby II, 1833"
40305,"Conus pennaceus","Born, 1778"
40306,"Conus textile","Linnaeus, 1758"
40307,"Philippia oxytropis","A. Adams, 1854"
41374,"Irenosyrinx persimilis leonis","Dall, 1908"
41375,"Haustellum tryoni","""Hidalgo, 1880"""
41376,"Pleurotomella bairdi","Verrill and Smith, 1884"
41377,"Lienardia pusilla",""
41378,"Conus episcopatus","da Motta"
41379,"Corbula chittyana","C.B. Adams, 1852"
176520,"Agatrix agassizii","Dall"
176521,"Murex altispira","Ponder & Vokes"
176522,"Papilla muscorum","Linn"
176523,"Goniobasis pybasi","Lea"
176524,"Goniobasis laqueata goodrichi","Hinkley"
176526,"Dorsanum granulosum","(Lamarck, 1822)"
178934,"Heteromacoma irus","(Hanley, 1845)"
179851,"Columbella pallida","Deshayes"
37518,"Nerita turrita","Gmelin, 1791"
37519,"Paphia undulata","(Born, 1718)"
37520,"Bixlex perca","Perry, 1811"
37521,"Clanculus margaritarius","(Philippi, 1847)"
37522,"Conus nussatella","(Linnaeus, 1758)"
37523,"Conus chaldens","Röding, 1798"
37524,"Conus araneosus","Hwass, 1792"
179892,"Placostylus fibratus bourailensis","Chll"
179893,"Thais hippocastanae","Linn."
179894,"Pinctada vilgasis","Schmacker"
179895,"Buccinum polare","(Pilsbry & Lowe, 1932)"
179896,"Amnicola cincinnatiensus","Anth"
179897,"Chlosaea fibula","Bood"
179898,"Polymita muscarum cavdida","Clench"
179852,"Pyrene filmerae","Sowerby"
179853,"Meladomus",""
179856,"Ampullaria haustrum",""
179857,"Haliotis californensis","Leach"
179861,"Clappia","Walker, 1909"
40321,"Entalina platamodes","(Watson, 1879)"
40322,"Boreotrophon stuarti","(E. A. Smith, 1880)"
40323,"Trophonopsis lasius","(Dall, 1919)"
40324,"Achatinella bulimoides wheatleyana","Welch, 1958"
40325,"Trophon geversianus","""Pallas, 1774"""
40326,"Neorapana muricata","(Broderip, 1832)"
193987,"Anasibirites kingianus","(Waagen)"
338499,"Cypraea mappa viridis","(Kenyon, A., 1902)"
175717,"Cesion sagraianum eughyptum","Maynard"
175718,"Cesion sagraianum obscusum","Maynard"
175719,"Donax bsaziesi","E.A. Smith"
